DV,Actual_beta,Actual_p,Placebo_beta,Placebo_p,Actual_se,Placebo_se
Clearing bank,0.1784,0.0041,-0.0886,0.0647,0.062,0.0479
RMB invoicing,-0.0381,0.7435,-0.1452,0.3421,0.1163,0.1527
