DV,spec,label,var,beta,se,p,stars,n,r2
clearing_bank_it,(A) Baseline,Clearing bank (0/1),CIPSit,0.3778,0.0723,0.0,***,1775,0.245
clearing_bank_it,(B) + Group trend,Clearing bank (0/1),CIPSit,0.1784,0.062,0.0041,***,1775,0.2739
clearing_bank_it,(B) + Group trend,Clearing bank (0/1) [trend],trend_direct,0.0307,0.0069,0.0,***,1775,0.2739
swap_line_it,(A) Baseline,Swap line (0/1),CIPSit,0.1934,0.0546,0.0004,***,1775,0.076
swap_line_it,(B) + Group trend,Swap line (0/1),CIPSit,0.0006,0.0452,0.9899,,1775,0.0978
swap_line_it,(B) + Group trend,Swap line (0/1) [trend],trend_direct,0.0296,0.0086,0.0006,***,1775,0.0978
rmb_infra_it,(A) Baseline,RMB infra index (0-2),CIPSit,0.5712,0.1011,0.0,***,1775,0.2002
rmb_infra_it,(B) + Group trend,RMB infra index (0-2),CIPSit,0.179,0.0863,0.0381,**,1775,0.238
rmb_infra_it,(B) + Group trend,RMB infra index (0-2) [trend],trend_direct,0.0603,0.0122,0.0,***,1775,0.238
